commentRate,productRate,starRate,stt,timeRate,userRate
M\u1edbi x\u00e0i th\u1eed 2 l\u1ea7n: \n- l\u00fac \u0111\u1ea7u m\u00f9i nh\u1ef1a h\u01a1i nhi\u1ec1u\n- ti\u1ebfng \u1ed3n kh\u00e1 to( tuy nhi\u00ean so v\u1edbi c\u00e1i m\u00e1y h\u00fat m\u00f9i th\u00ec k l\u00e0 g\u00ec th\u1eadt)\n- \u0111\u00e8n l\u00fac t\u1eaft l\u00fac s\u00e1ng\n- c\u00f4ng su\u1ea5t 1400 n\u00ean n\u01b0\u1edbng t\u1ea7m 3-5gram th\u1ecbt m\u1ea5t g\u1ea7n 40' ( do tr\u1edf m\u1eb7t \u0111\u1ec3 n\u01b0\u1edbng cho ch\u00edn \u0111\u1ec1u)\n- th\u1ecbt ch\u00edn th\u01a1m ngon\n- l\u00f3t gi\u1ea5y b\u1ea1c n\u00ean v\u1ec7 sinh r\u1ea5t d\u1ec5 d\u00e0ng v\u00e0 s\u1ea1ch s\u1ebd,53299582,4,10,1602080541,H\u1eefu Ho\u00e0ng
"m\u00ecnh mua s\u1ea3n ph\u1ea9m \u0111\u1ee3t sale gi\u00e1 c\u00f2n 3.059.000 v\u00e0 \u0111\u01b0\u1ee3c giao s\u1ea3n ph\u1ea9m b\u1ecb tr\u1ea7y n\u1eb7ng, m\u00ecnh \u0111\u00e3 y\u00eau c\u1ea7u \u0111\u1ed5i s\u1ea3n ph\u1ea9m m\u1edbi, tiki \u0111\u1ebfn v\u00e0 thu h\u1ed3i k\u00e8m mail th\u00f4ng b\u00e1o \u0111\u1ee3i 2 \u0111\u1ebfn 3 ng\u00e0y. Nh\u01b0ng sau khi \u0111\u1ee3i th\u00ec m\u00ecnh nh\u1eadn \u0111\u01b0\u1ee3c mail l\u00e0 ho\u00e0n tr\u1ea3 ti\u1ec1n v\u1edbi l\u00ed do nh\u00e0 cung c\u1ea5p b\u00e1o h\u1ebft h\u00e0ng, tiki kh\u00f3a link s\u1ea3n ph\u1ea9m, nh\u01b0ng qua 1 ng\u00e0y tiki l\u1ea1i m\u1edf b\u00e1n s\u1ea3n ph\u1ea9m n\u00e0y v\u1edbi gi\u00e1 cao h\u01a1n. Tiki l\u00e0m \u0103n nh\u01b0 v\u1eady c\u00f3 \u0111\u01b0\u1ee3c xem l\u00e0 \u0111\u00fang \u0111\u1eafn kh\u00f4ng. t\u00f4i th\u1eadt s\u1ef1 th\u1ea5t v\u1ecdng",43131407,2,7,1590570103,B\u00f9i Ho\u00e0ng Nh\u1eadt Linh
"Tuy\u1ec7t v\u1eddi. M\u1edbi \u0111\u1ea7u m\u00ecnh c\u00f2n ph\u00e2n v\u00e2n gi\u1eefa n\u1ed3i chi\u00ean kh\u00f4ng d\u1ea7u hay c\u00e1i l\u00f2 n\u01b0\u1edbng kh\u00f4ng kh\u00ed n\u00e0y. Th\u1eadt ch\u1ea5t n\u00f3 \u0111\u1ec1u l\u00e0 Air Fryer, ch\u1ec9 kh\u00e1c l\u00e0 c\u00e1i n\u00e0y mang h\u00ecnh d\u00e1ng c\u1ee7a l\u00f2 n\u01b0\u1edbng th\u00f9ng, dung t\u00edch tho\u1ea3i m\u00e1i \u0111\u1ec3 ch\u1ebf bi\u1ebfn \u0111\u1ed3 \u0103n. D\u1ec5 quan s\u00e1t trong qu\u00e1 tr\u00ecnh v\u00ec c\u00f3 \u0111\u00e8n. N\u1ea5u ch\u00edn \u0111\u1ed3 \u0103n r\u1ea5t l\u1eb9. Tiki giao h\u00e0ng \u0111\u00fang gi\u1edd, g\u00f3i h\u00e0ng k\u1ef9, c\u1ea9n th\u1eadn, c\u00f3 b\u1ea3o h\u00e0nh \u0111\u1ea7y \u0111\u1ee7. M\u1ed9t \u0111i\u1ec1u m\u00ecnh th\u00edch n\u1eefa l\u00e0 v\u1ec7 sinh b\u00ean trong l\u00f2 r\u1ea5t d\u1ec5 d\u00e0ng. R\u1ea5t \u01b0ng \u00fd cho l\u1ea7n mua s\u1eafm n\u00e0y.",43131407,5,8,1590326750,Phan Thanh Binh
"Dung t\u00edch n\u1ed3i si\u00eau to kh\u1ed5ng l\u1ed3 nh\u01b0ng nhi\u1ec7t ko to\u1ea3 \u0111\u1ec1u gi\u1eefa c\u00e1c t\u1ea7ng n\u00ean n\u01b0\u1edbng t\u1ea7ng d\u01b0\u1edbi th\u1eddi gian l\u00e2u h\u01a1n t\u1ea7ng tr\u00ean kh\u00e1 nhi\u1ec1u, v\u1edbi l\u00f2 \u0111ang c\u1eafm \u0111i\u1ec7n m\u00e0 \u0111\u01b0a khay inox v\u00e0o c\u1ea3m gi\u00e1c b\u1ecb gi\u1eadt nh\u1eb9 huhu c\u00f2n l\u1ea1i th\u00ec \u0111\u1ec1u ok\n\u1ea2nh m l\u00e0m g\u00e0 xi\u00ean n\u01b0\u1edbng ngon nh\u1ee9c n\u00e1ch hihi",43131407,5,9,1590862890,Nguyt L
"M\u00ecnh m\u1edbi d\u00f9ng 1 l\u1ea7n th\u1ea5y ok, ch\u1ea1y \u00eam, c\u00f3 th\u1ec3 \u0111i\u1ec1u ch\u1ec9nh tg v\u00e0 nhi\u1ec7t \u0111\u1ed9 khi \u0111ang n\u01b0\u1edbng. C\u00f3 \u0111\u00e8n s\u00e1ng \u0111\u1ec3 qsat. R\u1ea5t ti\u1ec7n l\u1ee3i. Sau th\u00ec ch\u01b0a bi\u1ebft \u0111\u1ed9 b\u1ec1n th\u1ebf n\u00e0o. C\u00f3 nhc \u0111i\u1ec3m l\u00e0 n\u1ed3i c\u00f3 v\u1ebft x\u01b0\u1edbc nh\u1ecf, ko \u1ea3nh h\u01b0\u1edfng g\u00ec nhi\u1ec1u nhg mua \u0111\u1ed3 m\u1edbi l\u00fac n\u00e0o c\u0169ng mong h\u00e0ng ph\u1ea3i \u0111\u1eb9p lung linh!",43131407,5,10,1605678775,Ho\u00e0ng Th\u1ecb B\u00edch Ng\u1ecdc
C\u1ea3m nh\u1eadn m\u00e1y h\u01a1i y\u1ebfu. V\u1eaft ch\u1eadm \u0111\u1ed9ng c\u01a1 ko m\u1ea1nh. N\u00e0y ch\u1ee7 y\u1ebfu v\u1eaft cho gdinnh v\u00e0i qu\u1ea3 ch\u1ee9 b\u00e1n m\u00e0 \u0111\u1ee3i th\u00e0 v\u1eaft tay nhanh h\u01a1n \u00e1\n\u00c0 \u0111\u00f3ng g\u00f3i s\u01a1 s\u00e0i. N\u00ean \u0111\u00e1nh gi\u00e1 trc hay c\u00f3 chuy\u1ec7n b\u1ec3. N\u1ebfu shipper c\u00f3 t\u00e2m th\u00ec h\u00e0ng v\u1ec1 \u0111\u1ebfn tay nguy\u00ean v\u1eb9n. Ch\u1ee9 anh n\u00e0o k gi\u1eef th\u00ec b\u1ec3 l\u00e0 \u0111\u00fang. K ngh\u0129 tiki \u0111\u00f3ng g\u00f3i s\u01a1 s\u00e0i v\u1eady lu\u00f4n \u00e1. May l\u00e0 m\u00ecnh nh\u1eadn m\u00e1y ok,10908328,5,7,1598579030,Ph\u01b0\u01a1ng Uy\u00ean
"Mua v\u1ec1 h\u00e1o h\u1ee9c s\u1eed d\u1ee5ng c\u1eafm v\u00e0o \u0111i\u1ec7n, \u1ea5n th\u1eed xu\u1ed1ng th\u00ec ch\u1ea3 ch\u1ea1y \u0111\u01b0\u1ee3c. C\u00f2n ch\u01b0a \u0111\u01b0\u1ee3c th\u1eed lu\u00f4n. Qu\u00e1 t\u1ec7. Ch\u00e1n lu\u00f4n. M\u1ea5t th\u1eddi gian \u0111\u1ed5i tr\u1ea3, th\u1ebf n\u00e0y mua t\u1eb7ng th\u00ec ko bi\u1ebft n\u00f3i sao lu\u00f4n. L\u1ea1i b\u1ea3o h\u00e0ng \u0111\u1ec3u. Qu\u00e1 ch\u00e1n tiki, \u0111\u00e3 \u0111\u1eb7t c\u1ee7a Tiki Trading r\u1ed3i m\u00e0 c\u00f2n v\u1eady. Mong Tiki ti\u1ebfn h\u00e0nh \u0111\u1ed5i tr\u1ea3 s\u1ea3n ph\u1ea9m nhanh nh\u01b0 giao h\u00e0ng gi\u00fap m\u00ecnh.",10908328,1,8,1573043158,Thu H\u1eb1ng Nguy\u1ec5n
xem b\u00ecnh lu\u1eadn n\u00f3i v\u1ec1 m\u00e1y v\u1eaft cam lock&lock c\u00f3 nhi\u1ec1u s\u1ef1 c\u1ed1 ko t\u1ed1t.s\u1ef1 l\u1ef1a ch\u1ecdn c\u1ee7a m\u00ecnh l\u00e0 50\/50 . nh\u01b0ng m\u00ecnh mai m\u1eafn mua m\u00e1y v\u1ec1 v\u1eaft cam r\u1ea5t t\u1ed1t. m\u00e1y v\u1eaft r\u1ea5t im. v\u1eaft h\u1ebft th\u1ecbt cam. v\u1eaft \u0111\u1ea3o 2 chi\u1ec1u. mua \u0111\u01b0\u1ee3c gi\u00e1 r\u1ebb 199k m\u00ecnh r\u1ea5t h\u00e0i l\u00f2ng. c\u1ea3m \u01a1n tiki b\u00e1n h\u00e0ng r\u1ea5t huy t\u00edn. giao h\u00e0ng nhanh.minh  ti\u1ebfp t\u1ee5c \u1ee7ng h\u1ed9 tiki l\u00e2u d\u00e0i.,10908328,5,9,1579103694,L\u00ca TH\u1eca KIM H\u01af\u01a0NG
"H\u00e0ng th\u1ef1c t\u1ebf gi\u1ed1ng h\u00ecnh \u1ea3nh c\u1ee7a shop, m\u00e1y k\u00eau h\u01a1i to, c\u00f3 \u0111\u00f4i l\u00fac \u0111\u1ee9ng \u0111\u01a1 ko quay ph\u1ea3i d\u00f9ng tay tr\u1ee3 l\u1ef1c, b\u1ed9 l\u1ecdc b\u00e3 c\u00f3 k\u1ebd h\u01a1i to, l\u00e0m r\u1edbt c\u1ea3 h\u1ea1t cam xu\u1ed1ng \u0111\u00f3. D\u00f9ng l\u1ea7n \u0111\u1ea7u th\u1ea5y ok, s\u1ebd theo d\u00f5i \u0111\u1ed9 b\u1ec1n",10908328,4,10,1602709250,Nguy\u1ec5n Thanh Tu\u1ea5n
"M\u1edbi mua xong v\u1eaft \u0111\u01b0\u1ee3c 1 tr\u00e1i cam, t\u1edbi tr\u00e1i th\u1ee9 2 th\u00ec t\u1ea1ch, l\u1eeda x\u1eb9t v\u00e0 kh\u00f3i bay ra kh\u00e9t l\u1eb9t.\nL\u1ea7n \u0111\u1ea7u ti\u00ean x\u00e0i \u0111\u1ed3 \u0111i\u1ec7n c\u1ee7a Lock&Lock m\u00e0 kh\u00f4ng th\u1ec3 t\u01b0\u1edfng t\u01b0\u1ee3ng \u0111\u01b0\u1ee3c ch\u1ea5t l\u01b0\u1ee3ng k\u00e9m nh\u01b0 v\u1eady. Tiki b\u00e1n h\u00e0ng gi\u1ea3 hay sao v\u1eady???\nC\u00e1i m\u00e1y \u0111\u01a1n gi\u1ea3n nh\u01b0 v\u1eady m\u00e0 c\u00f2n kh\u00f4ng l\u00e0m ra h\u1ed3n n\u1eefa h\u1ea3 Lock&lock???\nL\u1ea7n \u0111\u1ea7u c\u0169ng nh\u01b0 l\u1ea7n cu\u1ed1i x\u00e0i \u0111\u1ed3 \u0111i\u1ec7n c\u1ee7a L&L.\nTiki cho ng\u01b0\u1eddi qua l\u1ea5y h\u00e0ng l\u1ea1i d\u00f9m. S\u1ee3 qu\u00e1 r\u1ed3i! Mua bao nhi\u00eau \u0111\u1ed3 t\u1eeb Tiki t\u1eeb m\u00e1y l\u1ea1nh m\u00e1y gi\u1eb7t m\u00e0 ch\u01b0a b\u1ecb nh\u01b0 v\u1eady bao gi\u1edd. Tiki coi l\u1ea1i h\u00e0ng L&L nha, b\u00e1n \u0111\u1ed3 d\u1ecfm v\u1eady mang ti\u1ebfng ch\u1ebft.",10908328,1,11,1572361817,L\u00ea Duy Minh
"M\u00ecnh mua 2 c\u00e1i r\u1ed3i, xay th\u1ecbt r\u1ea5t nhanh, m\u1ecbn, m\u00e1y ch\u1ea1y \u00eam, ch\u1ec9 c\u1ea7n nh\u1ea5n n\u00fat 1 tr\u1ed9n \u0111\u1ec1u gia v\u1ecb, sau nh\u1ea5n n\u00fat 2 xay th\u1ecbt r\u1ea5t nhanh. \u0110\u00e3 d\u00f9ng m\u1ea5y lo\u1ea1i m\u00e1y xay nh\u01b0ng c\u00e1i n\u00e0y l\u00e0 \u01b0ng nh\u1ea5t!",860733,5,31,1554106825,Ha Huong
"m\u00e1y xay c\u1ee7a m\u00ecnh m\u1edbi thua h\u1ed3i th\u00e1ng 10 , gi\u1edd b\u1ecb g\u00e3y c\u00e1i ch\u1ed1t nh\u1ef1a ch\u1ed7 g\u1eafn l\u01b0\u1ee1i dao v\u00e0o, kh\u00f4ng bi\u1ebft b\u00ean m\u00ecnh c\u00f3 b\u1ea3o h\u00e0nh hay s\u1eefa ch\u1eefa \u0111\u01b0\u1ee3c kh\u00f4ng \u1ea1",860733,5,32,1582950557,L\u00ea Tr\u01b0\u1eddng
"\u0111\u00e3 nh\u1eadn \u0111c h\u00e0ng.Woa c\u00f4ng nh\u1eadn ch\u1ec9 c\u1ea7n 2 l\u1ea7n 15s m\u00e0 th\u1ecbt xay nh\u1ecf, \u0111\u1ec1u.... th\u1ebf n\u00e0y th\u00ec vi\u1ec7c b\u1ebfp n\u00fac tr\u1edf n\u00ean nh\u1eb9 nh\u00e0ng h\u01a1n \nQu\u00e1 nhanh qu\u00e1 nguy hi\u1ec3m",860733,5,33,1585902290,Thanh Huy\u1ec1n
T\u00f4i \u0111\u00e3 s\u1eed d\u1ee5ng 2 l\u1ea7n th\u00ec ok th\u00edch l\u1eafm nh\u01b0ng l\u1ea7n 3 th\u00ec k\u00eau l\u1edbn m\u00e0 k quay n\u1ed5i lu\u00f4n. Tiki \u0111\u00e3 thu s\u1ea3n ph\u1ea9m \u0111\u1ec3 k tra kho\u1ea3ng 1 th\u00e1ng m\u00e0 ch\u01b0a th\u1ea5y h\u1ed3i \u00e2m g\u00ec. C\u0169ng r\u00e1ng \u0111\u1ee3i ch\u00fa bi\u1ebft sao gi\u1edd???,860733,3,34,1590839377,Phan Mai Thanh
"th\u1ea5y nhi\u1ec1u ng\u01b0\u1eddi \u0111\u00e1nh gi\u00e1 t\u1ed1t n\u00ean mua lu\u00f4n, c\u00f3 c\u0169ng ti\u1ec7n. ch\u01b0a d\u00f9ng nh\u01b0ng s\u1ea3n ph\u1ea9m c\u00f2n m\u1edbi, ngo\u1ea1i quan kh\u00f4ng l\u1ed7i l\u1ea7m g\u00ec.",860733,5,35,1602064186,Chu Quang Ho\u00e0ng
"Ch\u00f2i oi mua m\u00e0 \u01b0ng c\u00e1i b\u1ee5ng d\u1ec5 s\u1ee3, m\u00e1y \u00eam ru, ko b\u1ecb \u1ed3n, xay v\u00e0i gi\u00e2y l\u00e0 th\u1ecbt nhuy\u1ec5n r\u1ed3i. Ai m\u00e0 n\u00f3i \u201cm\u1edbi xay 30s m\u00e0 n\u00f3ng h\u1ebft m\u00e1y\u201d l\u00e0 sai r\u1ed3i nha, n\u00ean \u0111\u1ecdc k\u0129 HDSD :3",860733,5,36,1607997511,B\u00ecnh Minh
"M\u00e1y \u0111\u1eb9p, ch\u1eafc ch\u1eafn, ch\u1ee9c n\u0103ng \u0111\u00fang nh\u01b0 m\u00f4 t\u1ea3.\nNh\u01b0ng d\u00f9ng 1 th\u00e1ng th\u00ec b\u1ecb h\u1ecfng, g\u1eedi b\u1ea3o h\u00e0nh v\u00e0 \u0111\u01b0\u1ee3c \u0111\u1ed5i m\u1edbi sau \u0111\u00f3 h\u01a1n 2 tu\u1ea7n. N\u00ean kh\u00e1 l\u00e0 h\u00e0i l\u00f2ng",48025253,4,45,1601798385,Nguy\u1ec5n  H\u00f9ng
"m\u00e1y m\u00ecnh nh\u1eadn b\u1ecb l\u1ed7i, hai ch\u1ea5m tr\u00f2n an to\u00e0n n\u00e0y kh\u00f4ng kh\u1edbp nhau l\u00fac \u0111\u00f3ng v\u00e0o :( n\u00ean c\u1ee9 c\u00f3 c\u1ea3m gi\u00e1c kh\u00f4ng an to\u00e0n l\u00fac m\u00e1y ch\u1ea1y :((",48025253,2,46,1602344188,Phan.T. Thanh Huy\u1ec1n
"H\u00f4m nay Tiki giao h\u00e0ng, mong \u0111\u1ee3i bi\u1ebft bao nhi\u00eau. M\u1edf ra v\u1eabn l\u00e0 kh\u00f4ng c\u00f3 \u0111\u1ea7u s\u1ea1c, ch\u1ec9 c\u00f3 m\u1ed7i d\u00e2y s\u1ea1c th\u00f4i. Em tr\u1ea3 h\u00e0ng r\u1ed3i. B\u00ecnh th\u01b0\u1eddng b\u1ed9 c\u1ee7a n\u00f3 l\u00e0 c\u00f3 hay kh\u00f4ng?",48025253,3,47,1587443855,Nh\u00f3c B\u01a1
"B\u1ebfp n\u01b0\u1edbng r\u1ea5t d\u1ec5 s\u1eed d\u1ee5ng v\u00e0 ch\u00f9i r\u1eeda, thu\u1eadn ti\u1ec7n khi mang \u0111i, n\u01b0\u1edbng \u0111\u1ed3 \u0103n r\u1ea5t d\u1ec5 v\u00e0 nhanh, kh\u00f4ng kh\u00f3i, kh\u00f4ng s\u1ee3 l\u1eeda, c\u00f3 v\u1ecb g\u1ea7n gi\u1ed1ng nh\u01b0 n\u01b0\u1edbng than kho\u1ea3ng 80%, l\u00e2u l\u00e2u t\u1ee5 h\u1ecdp b\u1ea1n b\u00e8 hay gia \u0111\u00ecnh m\u00e0 ng\u1ed3i n\u01b0\u1edbng l\u00e0 h\u1ebft x\u1ea9y :)))) \n\nTiki \u0111\u00f3ng g\u00f3i h\u00e0ng k\u1ef9, d\u1ecbch v\u1ee5 chuy\u00ean nghi\u1ec7p, v\u1eabn l\u00e0 h\u00e0i l\u00f2ng",1460199,5,18,1541956900,Nguy\u1ec5n Hi\u1ec3n Thanh
"Bao b\u00ec kh\u00f4ng nguy\u00ean v\u1eb9n nh\u01b0 ban \u0111\u1ea7u. M\u00ecnh th\u1ea5y s\u1ea3n ph\u1ea9m t\u1ed1t, n\u01b0\u1edbng nhanh v\u00e0 kh\u00f4ng kh\u00e9t. Tiki cho m\u00ecnh h\u1ecfi l\u00e0 m\u00ecnh th\u1ea5y tem b\u1ea3o h\u00e0nh ghi ng\u00e0y 16\/11\/2019. M\u00ecnh m\u1edbi nh\u1eadn s\u1ea3n ph\u1ea9m th\u00ec ch\u1ebf \u0111\u1ed9 b\u1ea3o h\u00e0nh t\u00ednh th\u1ebf n\u00e0o?",1460199,4,19,1580809495,Ch\u00e1nh Ph\u1ea1m
"\u01b0u \u0111i\u1ec3m: n\u01b0\u1edbng nhanh, gi\u00e1 t\u1ed1t, d\u1ec5 v\u1ec7 sinh\nnh\u01b0\u1ee3c \u0111i\u1ec3m: d\u00e2y ngu\u1ed3n r\u1ea5t ng\u1eafn ph\u1ea3i c\u00f3 \u1ed5 \u0111i\u1ec7n \u0111\u1ec3 n\u1ed1i d\u00e2y, trong h\u00ecnh nh\u00ecn d\u00e0i r\u1ed9ng nh\u01b0ng th\u1ef1c t\u1ebf c\u00f3 v\u1ebb h\u01a1i nh\u1ecf \ud83d\ude05",1460199,5,20,1599292556,Th\u00e2n Thuy\u1ebft 
"M\u00ecnh \u0111\u1eb7t \u0111\u01a1n n\u00e0y l\u00e0 qu\u00e0 t\u1eb7ng cho \u0111\u1ee9a b\u1ea1n. Nh\u1eadn \u0111\u01b0\u1ee3c l\u00e0 b\u1ea1n \u1ea5y khui h\u00e0ng, l\u00ean \u0111\u1ed3 v\u00e0 tr\u1ea3 \u1ea3nh lu\u00f4n. Gi\u00e1 r\u1ebb, b\u1ebfp n\u01b0\u1edbng d\u1ec5 ch\u00f9i r\u1eeda. Ch\u1ea3o n\u01b0\u1edbng c\u00f3 r\u00e3nh \u0111\u1ec3 d\u1ea7u ch\u1ea3y v\u00e0o n\u00ean \u0111\u1ed3 n\u01b0\u1edbng kh\u00f4ng b\u1ecb ng\u1eadp m\u1ee1.",1460199,5,21,1566455333,Nguy\u1ec5n Minh
"\u0110\u00e3 mua c\u00e1i n\u00e0y l\u00e0 c\u00e1i th\u1ee9 2, nh\u00e0 c\u00f3 tr\u1ebb em v\u00e0 em b\u00e9 n\u00ean s\u1eafm m\u1ed9t c\u00e1i cho kh\u00f4ng kh\u00ed trong l\u00e0nh nha m\u1ecdi ng\u01b0\u1eddi.",2138075,5,24,1601193197,Ph\u00fa Nguy\u1ec5n
"H\u00e0ng m\u1edbi ord book tr\u00ean tiki chi\u1ec1u ng\u00e0y 10.2, d\u1ef1 ki\u1ebfn giao 17.2, m\u00e0 s\u00e1ng 11.2 b\u01b0u t\u00e1 \u0111\u00e3 giao t\u1edbi nh\u00e0 (300km) \ud83e\udd23\ud83e\udd23\ud83e\udd23. C\u1ea3m gi\u00e1c nhanh c\u00f2n h\u01a1n ng\u01b0\u1eddi y\u00eau c\u0169 tr\u1edf m\u1eb7t. Tiki tuy\u1ec7t v\u1eddi \u263a\ufe0f\u263a\ufe0f. C\u00f2n v\u1ec1 m\u00e1y th\u00ec do ch\u01b0a s\u1eed d\u1ee5ng n\u00ean ch\u01b0a recommend \u0111\u01b0\u1ee3c.",2138075,5,25,1581399360,Ng\u00f4 Ho\u00e0ng Th\u1ea3o
"M\u00e1y ho\u1ea1t \u0111\u1ed9ng t\u1ed1t, kh\u00ed to\u1ea3 ra c\u00f2n c\u00f3 m\u00f9i h\u01b0\u01a1ng d\u1ec5 ch\u1ecbu, c\u00f3 4 ch\u1ebf \u0111\u1ed9 l\u1ecdc t\u1eeb \u00edt \u1ed3n ( \u0111\u00eam) \u0111\u1ebfn m\u1ea1nh, nh\u01b0ng \u0111\u01a1n gi\u1ea3n d\u1ec5 s\u1eed d\u1ee5ng. M\u1edbi c\u00f3 4 ng\u00e0y m\u00e0 \u0111\u00e3 b\u00e1m r\u1ea5t nhi\u1ec1u c\u1eb7n v\u00e0 b\u1ee5i b\u1ea9n nh\u01b0 n\u00e0y ..",2138075,5,26,1547526404,Mai th\u1ecb thu v\u00e2n
"M\u00ecnh nh\u00e2n h\u00e0ng th\u00ec l\u00e0 h\u00e0ng nguy\u00ean ki\u1ec7n v\u00e0 Ch\u1ea5t l\u01b0\u1ee3ng, nh\u01b0ng c\u00f2n v\u1ec1 hi\u1ec7u qu\u1ea3 th\u00ec m\u00ecnh ch\u01b0a c\u1ea3m nh\u1eadn \u0111\u01b0\u1ee3c, c\u00f3 th\u1ec3 l\u00e0 ch\u1ea5t l\u01b0\u1ee3ng kh\u00f4ng kh\u00ed thay \u0111\u1ed5i nh\u01b0ng m\u00ecnh kh\u00f4ng c\u1ea3m nh\u1eadn \u0111\u01b0\u1ee3c r\u00f5 r\u1ec7t.",2138075,5,27,1591060918,Nguyen Cong Hanh Dung
"H\u00e0ng gi\u1ed1ng h\u1ec7t h\u00ecnh. Review vi\u1ebft sau 1 th\u00e1ng s\u1eed d\u1ee5ng: c\u1ea3m th\u1ea5y t\u1eeb sau khi mua v\u00e0 s\u1eed d\u1ee5ng th\u00ec \u0111\u00eam n\u00e0o c\u0169ng ngon gi\u1ea5c h\u01a1n, s\u00e1ng d\u1eady th\u1ea5y d\u1ec5 ch\u1ecbu h\u01a1n h\u1eb3n, h\u00edt th\u1edf th\u1ea5y kh\u1ecfe h\u01a1n.",2138075,5,28,1575807055,khang Hoang
"\u0110\u1eb7t Black Friday n\u00ean gi\u00e1 c\u00f2n 799, \u00e1p m\u00e3 gi\u1ea3m 50 n\u1eefa n\u00ean c\u00f2n 749. Th\u1ee9 7 hnay \u0111\u00e3 nh\u1eadn \u0111c s\u1ea3n ph\u1ea9m. C\u0169ng kh\u00f4ng kh\u00f3 s\u1eed d\u1ee5ng l\u1eafm. Sau khi b\u1ea5m ch\u1ea1y th\u1eed v\u1edbi n\u01b0\u1edbc l\u1ecdc 2 l\u1ea7n \u0111\u1ec3 v\u1ec7 sinh m\u00e1y..m\u00ecnh \u0111\u00e3 pha th\u00e0nh c\u00f4ng ly cafe (v\u1ea1ch 2 cho ra 2 c\u1ed1c). Ti\u1ebft ki\u1ec7m kh\u00e1 nhi\u1ec1u cafe so v\u1edbi pha phin. R\u1ea5t \u01b0ng \u00fd, \u0111\u00e1nh gi\u00e1 5 sao cho c\u1ea3 Tiross l\u1eabn Tiki.",548599,5,0,1606562482,H\u1ed3 D\u0169ng
"s\u1ea3n ph\u1ea9m c\u00f3 v\u1ebft c\u1ea1y m\u1edf, tr\u00ean v\u1ecf c\u00f3 v\u1ebft tr\u1ea7y do lau ch\u00f9i m\u1ea1nh, mai so nhi\u1ec7t tr\u1ea7y x\u01b0\u1edbc nhi\u1ec1u nh\u01b0 b\u1ecb c\u1ea1o. th\u1eed n\u1ea5u 2 l\u1ea7n th\u1ea5y b\u00ecnh th\u01b0\u1eddng n\u00ean th\u00f4i \u0111\u1ec3 d\u00f9ng lu\u00f4n, d\u00f9ng th\u00ec c\u0169ng c\u0169 \u0111i nh\u01b0ng shop n\u00ean l\u00e0m \u0103n uy t\u00edn h\u01a1n \u0111\u1eebng ngh\u0129 kh\u00e1ch h\u00e0ng kh\u00f4ng bi\u1ebft m\u00e0 giao \u0111\u1ea1i nh\u01b0 v\u1eady, kh\u00e1ch mua h\u00e0ng m\u1edbi th\u00ec ph\u1ea3i giao s\u1ea3n ph\u1ea9m m\u1edbi ch\u1ee9, shop h\u00e3y \u0111\u1eb7t m\u00ecnh v\u00e0o v\u1ecb tr\u00ed l\u00e0 kh\u00e1ch h\u00e0ng \u0111i mua \u0111\u1ec3 b\u00e1n cho \u0111\u00e0ng ho\u00e0ng nh\u00e9.\n- v\u1ec1 s\u1ea3n ph\u1ea9m: n\u1ed3i n\u00e0y to, th\u00edch h\u1ee3p nh\u00e0 \u0111\u00f4ng ng\u01b0\u1eddi, n\u01b0\u1edbng \u0111\u01b0\u1ee3c 2 con g\u00e0 1 l\u1ea7n. n\u1ed3i \u0111\u1eb9p, sang c\u00f2n \u0111\u1ed3 b\u1ec1n th\u00ec ch\u01b0a bi\u1ebft",20916759,2,3,1601950191,Chu Quang Ho\u00e0ng
"\u0110\u1ebfn h\u00f4m nay vi\u1ebft \u0111\u00e1nh gi\u00e1, t\u00f4i \u0111\u00e3 mua n\u1ed3i chi\u00ean \u0111c 10 ng\u00e0y\nShip h\u00e0ng r\u1ea5t nhanh, ko c\u00f3 v\u1ea5n \u0111\u1ec1 g\u00ec v\u1edbi v\u1eadn chuy\u1ec3n c\u1ea3\nNh\u01b0ng ch\u1ec9 sau 3 l\u1ea7n s\u1eed d\u1ee5ng, n\u1ed3i h\u1ecfng, m\u1ea5t ngu\u1ed3n, c\u1eafm \u0111i\u1ec7n ko c\u00f3 t\u00edn hi\u1ec7u g\u00ec\nT\u00f4i \u0111\u00e3 \u0111em \u0111\u1ebfn \u0111i\u1ec3m b\u1ea3o h\u00e0nh g\u1ea7n nh\u1ea5t l\u00e0 \u1edf Long bi\u00ean, H\u00e0 n\u1ed9i v\u00e0 10 ng\u00e0y r\u1ed3i v\u1eabn ch\u01b0a s\u1eeda xong, qu\u00e1 ch\u00e1n",20916759,2,4,1583320029,Tr\u1ea7n \u0110\u1ee9c H\u1ea3i
